"ICD10","ICD10Descr"
"I614","Nontraumatic intracerebral hemorrhage in cerebellum"
"I69123","Fluency disorder following nontraumatic intcrbl hemorrhage"
"I69022","Dysarthria following nontraumatic subarachnoid hemorrhage"
"G45","Transient cerebral ischemic attacks and related syndromes"
"I63132","Cerebral infarction due to embolism of left carotid artery"
"I6509","Occlusion and stenosis of unspecified vertebral artery"
"I6522","Occlusion and stenosis of left carotid artery"
"I69851","Hemiplga fol oth cerebvasc disease aff right dominant side"
"I69162","Oth parlyt syndrome fol ntrm intcrbl hemor aff left dom side"
"I6936","Other paralytic syndrome following cerebral infarction"
"I63231","Cereb infrc due to unsp occls or stenos of right carotid art"
"I63039","Cerebral infarction due to thrombosis of unsp carotid artery"
"I620","Nontraumatic subdural hemorrhage"
"H3400","Transient retinal artery occlusion, unspecified eye"
"I69951","Hemiplga fol unsp cerebvasc disease aff right dominant side"
"I6623","Occlusion and stenosis of bi posterior cerebral arteries"
"I63512","Cereb infrc d/t unsp occls or stenos of left mid cereb art"
"I6321","Cerebral infrc due to unsp occls or stenosis of verteb art"
"I69393","Ataxia following cerebral infarction"
"I69828","Oth speech/lang deficits following oth cerebvasc disease"
"I69351","Hemiplga following cerebral infrc aff right dominant side"
"I63432","Cerebral infrc due to embolism of left post cerebral artery"
"I69921","Dysphasia following unspecified cerebrovascular disease"
"I69139","Monoplg upr lmb following ntrm intcrbl hemor aff unsp side"
"I63019","Cerebral infarction due to thombos unsp vertebral artery"
"I63529","Cereb infrc d/t unsp occls or stenos of unsp ant cereb art"
"I69864","Oth parlyt synd fol oth cerebvasc dis aff left nondom side"
"I69890","Apraxia following other cerebrovascular disease"
"I69322","Dysarthria following cerebral infarction"
"I69964","Oth parlyt synd fol unsp cerebvasc dis aff left nondom side"
"I69931","Monoplg upr lmb fol unsp cerebvasc dis aff right dom side"
"I69232","Monoplg upr lmb fol oth ntrm intcrn hemor aff left dom side"
"I64",
"I69934","Monoplg upr lmb fol unsp cerebvasc dis aff left nondom side"
"I630","Cerebral infarction due to thrombosis of precerb arteries"
"I678","Other specified cerebrovascular diseases"
"I69243","Monoplg low lmb fol oth ntrm intcrn hemor aff r nondom side"
"I69942","Monoplg low lmb fol unsp cerebvasc disease aff left dom side"
"I6352","Cereb infrc due to unsp occls or stenos of ant cereb artery"
"I6503","Occlusion and stenosis of bilateral vertebral arteries"
"I63412","Cereb infrc due to embolism of left middle cerebral artery"
"I6331","Cerebral infrc due to thrombosis of middle cerebral artery"
"I6926","Oth paralytic syndrome following oth ntrm intcrn hemorrhage"
"I69953","Hemiplga fol unsp cerebvasc disease aff right nondom side"
"I69044","Monoplg low lmb fol ntrm subarach hemor aff left nondom side"
"I69164","Oth parlyt synd fol ntrm intcrbl hemor aff left nondom side"
"I6031","Ntrm subarach hemor from right post communicating artery"
"I69290","Apraxia following other nontraumatic intracranial hemorrhage"
"I6932","Speech and language deficits following cerebral infarction"
"I63211","Cereb infrc due to unsp occls or stenos of right verteb art"
"I63111","Cerebral infarction due to embolism of r verteb art"
"I6353","Cereb infrc due to unsp occls or stenos of post cereb artery"
"I6981","Cognitive deficits following other cerebrovascular disease"
"I69339","Monoplg upr lmb following cerebral infrc affecting unsp side"
"I69141","Monoplg low lmb fol ntrm intcrbl hemor aff right dom side"
"I652","Occlusion and stenosis of carotid artery"
"I69265","Oth paralytic syndrome following oth ntrm intcrn hemor, bi"
"I69320","Aphasia following cerebral infarction"
"G462","Posterior cerebral artery syndrome"
"I69069","Oth paralytic syndrome fol ntrm subarach hemor aff unsp side"
"I69328","Oth speech/lang deficits following cerebral infarction"
"I69143","Monoplg low lmb fol ntrm intcrbl hemor aff right nondom side"
"I69928","Oth speech/lang deficits following unsp cerebvasc disease"
"I600","Ntrm subarach hemorrhage from carotid siphon and bifurcation"
"I63329","Cerebral infrc due to thombos unsp anterior cerebral artery"
"I6900","Unspecified sequelae of nontraumatic subarachnoid hemorrhage"
"I608","Other nontraumatic subarachnoid hemorrhage"
"I63","Cerebral infarction"
"I6925","Hemiplga following oth nontraumatic intracranial hemorrhage"
"I6906","Oth paralytic syndrome following ntrm subarach hemorrhage"
"G466","Pure sensory lacunar syndrome"
"I6329","Cerebral infrc due to unsp occls or stenosis of precerb art"
"I69063","Oth parlyt synd fol ntrm subarach hemor aff r nondom side"
"I6781","Acute cerebrovascular insufficiency"
"I69231","Monoplg upr lmb fol oth ntrm intcrn hemor aff right dom side"
"I6939","Other sequelae of cerebral infarction"
"I69041","Monoplg low lmb fol ntrm subarach hemor aff right dom side"
"I69133","Monoplg upr lmb fol ntrm intcrbl hemor aff right nondom side"
"I69159","Hemiplga following ntrm intcrbl hemor affecting unsp side"
"I69331","Monoplg upr lmb fol cerebral infrc aff right dominant side"
"I693","Sequelae of cerebral infarction"
"H340","Transient retinal artery occlusion"
"I69920","Aphasia following unspecified cerebrovascular disease"
"I69833","Monoplg upr lmb fol oth cerebvasc dis aff right nondom side"
"I61","Nontraumatic intracerebral hemorrhage"
"I69891","Dysphagia following other cerebrovascular disease"
"I60","Nontraumatic subarachnoid hemorrhage"
"I692","Sequelae of other nontraumatic intracranial hemorrhage"
"I6980","Unspecified sequelae of other cerebrovascular disease"
"I63119","Cerebral infarction due to embolism of unsp vertebral artery"
"I612","Nontraumatic intracerebral hemorrhage in hemisphere, unsp"
"I672","Cerebral atherosclerosis"
"I63331","Cerebral infrc due to thombos of right post cerebral artery"
"I6340","Cerebral infarction due to embolism of unsp cerebral artery"
"I63511","Cereb infrc d/t unsp occls or stenos of right mid cereb art"
"I6933","Monoplegia of upper limb following cerebral infarction"
"I69332","Monoplg upr lmb fol cerebral infrc aff left dominant side"
"I682","Cerebral arteritis in other diseases classified elsewhere"
"G450","Vertebro-basilar artery syndrome"
"I69362","Oth parlyt syndrome fol cereb infrc aff left dominant side"
"I69943","Monoplg low lmb fol unsp cerebvasc dis aff right nondom side"
"I63532","Cereb infrc d/t unsp occls or stenos of left post cereb art"
"I69234","Monoplg upr lmb fol oth ntrm intcrn hemor aff l nondom side"
"I6986","Oth paralytic syndrome following oth cerebrovascular disease"
"I69049","Monoplg low lmb following ntrm subarach hemor aff unsp side"
"I6994","Monoplg low lmb following unsp cerebrovascular disease"
"I634","Cerebral infarction due to embolism of cerebral arteries"
"I607","Nontraumatic subarachnoid hemorrhage from unsp intracran art"
"I6319","Cerebral infarction due to embolism of precerebral artery"
"I69242","Monoplg low lmb fol oth ntrm intcrn hemor aff left dom side"
"I6021","Ntrm subarach hemor from right anterior communicating artery"
"I63421","Cerebral infrc due to embolism of right ant cerebral artery"
"I69992","Facial weakness following unsp cerebrovascular disease"
"I69390","Apraxia following cerebral infarction"
"I6322","Cerebral infrc due to unsp occls or stenosis of basilar art"
"I6989","Other sequelae of other cerebrovascular disease"
"I6354","Cereb infrc due to unsp occls or stenosis of cereblr artery"
"I6903","Monoplg upr lmb following ntrm subarachnoid hemorrhage"
"I674","Hypertensive encephalopathy"
"I69823","Fluency disorder following other cerebrovascular disease"
"I69223","Fluency disorder following oth ntrm intcrn hemorrhage"
"I6521","Occlusion and stenosis of right carotid artery"
"I63012","Cerebral infarction due to thrombosis of l verteb art"
"I63541","Cereb infrc due to unsp occls or stenos of right cereblr art"
"I69252","Hemiplga fol oth ntrm intcrn hemor aff left dominant side"
"I6300","Cerebral infarction due to thombos unsp precerebral artery"
"I6330","Cerebral infarction due to thombos unsp cerebral artery"
"I69991","Dysphagia following unspecified cerebrovascular disease"
"I69853","Hemiplga fol oth cerebvasc disease aff right nondom side"
"I63411","Cereb infrc due to embolism of right middle cerebral artery"
"I69344","Monoplg low lmb fol cerebral infrc aff left nondom side"
"I6030","Ntrm subarach hemor from unsp posterior communicating artery"
"I69869","Oth parlyt syndrome fol oth cerebvasc disease aff unsp side"
"I6629","Occlusion and stenosis of unsp posterior cerebral artery"
"I6934","Monoplegia of lower limb following cerebral infarction"
"I6923","Monoplg upr lmb following oth nontraumatic intcrn hemorrhage"
"I69391","Dysphagia following cerebral infarction"
"I6201","Nontraumatic acute subdural hemorrhage"
"I6984","Monoplg low lmb following oth cerebrovascular disease"
"I6202","Nontraumatic subacute subdural hemorrhage"
"I69144","Monoplg low lmb fol ntrm intcrbl hemor aff left nondom side"
"H3402","Transient retinal artery occlusion, left eye"
"I673","Progressive vascular leukoencephalopathy"
"I67848","Other cerebrovascular vasospasm and vasoconstriction"
"I6351","Cereb infrc due to unsp occls or stenos of middle cereb art"
"I668","Occlusion and stenosis of other cerebral arteries"
"I6032","Ntrm subarach hemor from left posterior communicating artery"
"I63319","Cerebral infrc due to thombos unsp middle cerebral artery"
"I69292","Facial weakness following oth nontraumatic intcrn hemorrhage"
"I631","Cerebral infarction due to embolism of precerebral arteries"
"I69998","Other sequelae following unspecified cerebrovascular disease"
"I619","Nontraumatic intracerebral hemorrhage, unspecified"
"I69839","Monoplg upr lmb fol oth cerebvasc disease aff unsp side"
"I651","Occlusion and stenosis of basilar artery"
"I610","Nontraumatic intcrbl hemorrhage in hemisphere, subcortical"
"I63539","Cereb infrc d/t unsp occls or stenos of unsp post cereb art"
"I69965","Oth paralytic syndrome following unsp cerebvasc disease, bi"
"I659","Occlusion and stenosis of unspecified precerebral artery"
"I679","Cerebrovascular disease, unspecified"
"I677","Cerebral arteritis, not elsewhere classified"
"G461","Anterior cerebral artery syndrome"
"H3403","Transient retinal artery occlusion, bilateral"
"I69359","Hemiplga following cerebral infarction affecting unsp side"
"I69193","Ataxia following nontraumatic intracerebral hemorrhage"
"I63449","Cerebral infarction due to embolism of unsp cereblr artery"
"I690","Sequelae of nontraumatic subarachnoid hemorrhage"
"I6913","Monoplg upr lmb following nontraumatic intcrbl hemorrhage"
"G458","Oth transient cerebral ischemic attacks and related synd"
"I69151","Hemiplga fol ntrm intcrbl hemor aff right dominant side"
"I6052","Nontraumatic subarachnoid hemorrhage from l verteb art"
"I63342","Cerebral infarction due to thrombosis of left cereblr artery"
"I670","Dissection of cerebral arteries, nonruptured"
"I675","Moyamoya disease"
"G452","Multiple and bilateral precerebral artery syndromes"
"I6344","Cerebral infarction due to embolism of cerebellar artery"
"I63332","Cerebral infrc due to thombos of left post cerebral artery"
"I6001","Ntrm subarach hemor from right carotid siphon and bifurc"
"I6200","Nontraumatic subdural hemorrhage, unspecified"
"I63441","Cerebral infarction due to embolism of right cereblr artery"
"I69949","Monoplg low lmb fol unsp cerebvasc disease aff unsp side"
"I63419","Cereb infrc due to embolism of unsp middle cerebral artery"
"I6334","Cerebral infarction due to thrombosis of cerebellar artery"
"I6332","Cerebral infrc due to thrombosis of anterior cerebral artery"
"I69323","Fluency disorder following cerebral infarction"
"I6919","Other sequelae of nontraumatic intracerebral hemorrhage"
"I69933","Monoplg upr lmb fol unsp cerebvasc dis aff right nondom side"
"I69334","Monoplg upr lmb fol cerebral infrc aff left nondom side"
"I6309","Cerebral infarction due to thrombosis of precerebral artery"
"I69043","Monoplg low lmb fol ntrm subarach hemor aff r nondom side"
"I6302","Cerebral infarction due to thrombosis of basilar artery"
"I63112","Cerebral infarction due to embolism of left vertebral artery"
"I69221","Dysphasia following oth nontraumatic intracranial hemorrhage"
"I69341","Monoplg low lmb fol cerebral infrc aff right dominant side"
"I69122","Dysarthria following nontraumatic intracerebral hemorrhage"
"I63439","Cerebral infrc due to embolism of unsp post cerebral artery"
"I69128","Oth speech/lang deficits following ntrm intcrbl hemorrhage"
"I69291","Dysphagia following oth nontraumatic intracranial hemorrhage"
"I6929","Other sequelae of other nontraumatic intracranial hemorrhage"
"I6501","Occlusion and stenosis of right vertebral artery"
"I69941","Monoplg low lmb fol unsp cerebvasc dis aff right dom side"
"I69198","Other sequelae of nontraumatic intracerebral hemorrhage"
"I68","Cerebrovascular disorders in diseases classified elsewhere"
"I676","Nonpyogenic thrombosis of intracranial venous system"
"I69352","Hemiplga following cerebral infrc aff left dominant side"
"I69220","Aphasia following other nontraumatic intracranial hemorrhage"
"I6022","Ntrm subarach hemor from left anterior communicating artery"
"I69831","Monoplg upr lmb fol oth cerebvasc disease aff right dom side"
"I69961","Oth parlyt synd fol unsp cerebvasc dis aff right dom side"
"I69952","Hemiplga fol unsp cerebvasc disease aff left dominant side"
"I69062","Oth parlyt synd fol ntrm subarach hemor aff left dom side"
"I6983","Monoplg upr lmb following oth cerebrovascular disease"
"I69863","Oth parlyt synd fol oth cerebvasc dis aff right nondom side"
"I69922","Dysarthria following unspecified cerebrovascular disease"
"I69192","Facial weakness following nontraumatic intcrbl hemorrhage"
"I6611","Occlusion and stenosis of right anterior cerebral artery"
"I639","Cerebral infarction, unspecified"
"I6529","Occlusion and stenosis of unspecified carotid artery"
"I663","Occlusion and stenosis of cerebellar arteries"
"I6910","Unsp sequelae of nontraumatic intracerebral hemorrhage"
"I63322","Cerebral infrc due to thombos of left ant cerebral artery"
"I69269","Oth parlyt syndrome fol oth ntrm intcrn hemor aff unsp side"
"I63239","Cereb infrc due to unsp occls or stenos of unsp carotid art"
"I69239","Monoplg upr lmb fol oth ntrm intcrn hemor aff unsp side"
"I698","Sequelae of other cerebrovascular diseases"
"I636","Cerebral infrc due to cerebral venous thombos, nonpyogenic"
"I629","Nontraumatic intracranial hemorrhage, unspecified"
"I6914","Monoplg low lmb following nontraumatic intcrbl hemorrhage"
"I6905","Hemiplga following nontraumatic subarachnoid hemorrhage"
"G463","Brain stem stroke syndrome"
"I63422","Cerebral infrc due to embolism of left ant cerebral artery"
"I69253","Hemiplga fol oth ntrm intcrn hemor aff right nondom side"
"I6020","Ntrm subarach hemor from unsp anterior communicating artery"
"I601","Ntrm subarachnoid hemorrhage from middle cerebral artery"
"I69364","Oth parlyt syndrome fol cerebral infrc aff left nondom side"
"I63519","Cereb infrc d/t unsp occls or stenos of unsp mid cereb art"
"I6622","Occlusion and stenosis of left posterior cerebral artery"
"I69161","Oth parlyt synd fol ntrm intcrbl hemor aff right dom side"
"I613","Nontraumatic intracerebral hemorrhage in brain stem"
"I650","Occlusion and stenosis of vertebral artery"
"I6313","Cerebral infarction due to embolism of carotid artery"
"I69163","Oth parlyt synd fol ntrm intcrbl hemor aff right nondom side"
"I6000","Ntrm subarach hemorrhage from unsp carotid siphon and bifurc"
"I69844","Monoplg low lmb fol oth cerebvasc dis aff left nondom side"
"I69849","Monoplg low lmb fol oth cerebvasc disease aff unsp side"
"I602","Ntrm subarach hemorrhage from anterior communicating artery"
"I69354","Hemiplga following cerebral infrc affecting left nondom side"
"I6992","Speech/lang deficits following unsp cerebrovascular disease"
"I69939","Monoplg upr lmb fol unsp cerebvasc disease aff unsp side"
"I6916","Oth paralytic syndrome following ntrm intcrbl hemorrhage"
"I63312","Cerebral infrc due to thombos of left middle cerebral artery"
"G453","Amaurosis fugax"
"I69361","Oth parlyt syndrome fol cereb infrc aff right dominant side"
"I69822","Dysarthria following other cerebrovascular disease"
"I6782","Cerebral ischemia"
"I632","Cerebral infrc due to unsp occls or stenosis of precerb art"
"I69892","Facial weakness following other cerebrovascular disease"
"I69963","Oth parlyt synd fol unsp cerebvasc dis aff right nondom side"
"I69398","Other sequelae of cerebral infarction"
"I6912","Speech/lang deficits following ntrm intcrbl hemorrhage"
"I69834","Monoplg upr lmb fol oth cerebvasc dis aff left nondom side"
"I69052","Hemiplga fol ntrm subarach hemor aff left dominant side"
"I69353","Hemiplga following cerebral infrc aff right nondom side"
"I699","Sequelae of unspecified cerebrovascular diseases"
"I621","Nontraumatic extradural hemorrhage"
"I6902","Speech/lang deficits following ntrm subarachnoid hemorrhage"
"I6050","Nontraumatic subarachnoid hemorrhage from unsp verteb art"
"I6341","Cerebral infrc due to embolism of middle cerebral artery"
"I69191","Dysphagia following nontraumatic intracerebral hemorrhage"
"I69333","Monoplg upr lmb fol cerebral infrc aff right nondom side"
"I6920","Unsp sequelae of other nontraumatic intracranial hemorrhage"
"I6915","Hemiplga following nontraumatic intracerebral hemorrhage"
"I69343","Monoplg low lmb fol cerebral infrc aff right nondom side"
"I69165","Oth paralytic syndrome following ntrm intcrbl hemor, bi"
"I69028","Oth speech/lang deficits following ntrm subarach hemorrhage"
"I69093","Ataxia following nontraumatic subarachnoid hemorrhage"
"I69365","Oth paralytic syndrome following cerebral infrc, bilateral"
"I633","Cerebral infarction due to thrombosis of cerebral arteries"
"I69121","Dysphasia following nontraumatic intracerebral hemorrhage"
"I69821","Dysphasia following other cerebrovascular disease"
"I69064","Oth parlyt synd fol ntrm subarach hemor aff left nondom side"
"I6342","Cerebral infrc due to embolism of anterior cerebral artery"
"I69222","Dysarthria following oth nontraumatic intcrn hemorrhage"
"I69054","Hemiplga following ntrm subarach hemor aff left nondom side"
"I63341","Cerebral infrc due to thrombosis of right cereblr artery"
"I6310","Cerebral infarction due to embolism of unsp precerb artery"
"I6935","Hemiplegia and hemiparesis following cerebral infarction"
"I69842","Monoplg low lmb fol oth cerebvasc disease aff left dom side"
"I69034","Monoplg upr lmb fol ntrm subarach hemor aff left nondom side"
"I618","Other nontraumatic intracerebral hemorrhage"
"I6603","Occlusion and stenosis of bilateral middle cerebral arteries"
"I63031","Cerebral infrc due to thrombosis of right carotid artery"
"I609","Nontraumatic subarachnoid hemorrhage, unspecified"
"I69854","Hemiplga fol oth cerebvasc disease aff left nondom side"
"I611","Nontraumatic intcrbl hemorrhage in hemisphere, cortical"
"G451","Carotid artery syndrome (hemispheric)"
"I69228","Oth speech/lang deficits following oth ntrm intcrn hemor"
"I69843","Monoplg low lmb fol oth cerebvasc dis aff right nondom side"
"I69059","Hemiplga following ntrm subarach hemor affecting unsp side"
"I63139","Cerebral infarction due to embolism of unsp carotid artery"
"G464","Cerebellar stroke syndrome"
"I658","Occlusion and stenosis of other precerebral arteries"
"I69832","Monoplg upr lmb fol oth cerebvasc disease aff left dom side"
"I6323","Cerebral infrc due to unsp occls or stenosis of carotid art"
"I605","Nontraumatic subarachnoid hemorrhage from vertebral artery"
"I63429","Cerebral infrc due to embolism of unsp ant cerebral artery"
"I69363","Oth parlyt syndrome fol cerebral infrc aff right nondom side"
"I69032","Monoplg upr lmb fol ntrm subarach hemor aff left dom side"
"I6930","Unspecified sequelae of cerebral infarction"
"I69263","Oth parlyt synd fol oth ntrm intcrn hemor aff r nondom side"
"I6343","Cerebral infrc due to embolism of posterior cerebral artery"
"I6996","Oth paralytic syndrome following unsp cerebvasc disease"
"I616","Nontraumatic intracerebral hemorrhage, multiple localized"
"M3302","Juvenile dermatopolymyositis with myopathy"
"M32","Systemic lupus erythematosus (SLE)"
"M05419","Rheumatoid myopathy w rheumatoid arthritis of unsp shoulder"
"M06262","Rheumatoid bursitis, left knee"
"M05711","Rheu arthrit w rheu factor of r shoulder w/o org/sys involv"
"M0576","Rheu arthritis w rheu factor of knee w/o org/sys involv"
"M0554","Rheumatoid polyneuropathy with rheumatoid arthritis of hand"
"M0533","Rheumatoid heart disease with rheumatoid arthritis of wrist"
"M05859","Oth rheumatoid arthritis with rheumatoid factor of unsp hip"
"M06851","Other specified rheumatoid arthritis, right hip"
"M0600","Rheumatoid arthritis without rheumatoid factor, unsp site"
"M06321","Rheumatoid nodule, right elbow"
"M05721","Rheu arthritis w rheu factor of r elbow w/o org/sys involv"
"M05631","Rheu arthritis of r wrist w involv of organs and systems"
"M05531","Rheumatoid polyneurop w rheumatoid arthritis of right wrist"
"M06872","Other specified rheumatoid arthritis, left ankle and foot"
"M05132","Rheumatoid lung disease w rheumatoid arthritis of left wrist"
"M05352","Rheumatoid heart disease w rheumatoid arthritis of left hip"
"M0639","Rheumatoid nodule, multiple sites"
"M05011","Felty's syndrome, right shoulder"
"M0556","Rheumatoid polyneuropathy with rheumatoid arthritis of knee"
"M05852","Oth rheumatoid arthritis with rheumatoid factor of left hip"
"M3390","Dermatopolymyositis, unsp, organ involvement unspecified"
"M05251","Rheumatoid vasculitis with rheumatoid arthritis of right hip"
"M06052","Rheumatoid arthritis without rheumatoid factor, left hip"
"M0550","Rheumatoid polyneurop w rheumatoid arthritis of unsp site"
"M0532","Rheumatoid heart disease with rheumatoid arthritis of elbow"
"M05862","Oth rheumatoid arthritis with rheumatoid factor of left knee"
"M05669","Rheu arthritis of unsp knee w involv of organs and systems"
"M3212","Pericarditis in systemic lupus erythematosus"
"M06331","Rheumatoid nodule, right wrist"
"M05012","Felty's syndrome, left shoulder"
"M06352","Rheumatoid nodule, left hip"
"M05219","Rheu vasculitis w rheumatoid arthritis of unsp shoulder"
"M05651","Rheu arthritis of right hip w involv of organs and systems"
"M06371","Rheumatoid nodule, right ankle and foot"
"M05369","Rheumatoid heart disease w rheumatoid arthritis of unsp knee"
"M06","Other rheumatoid arthritis"
"M0547","Rheumatoid myopathy w rheumatoid arthritis of ankle and foot"
"M0685","Other specified rheumatoid arthritis, hip"
"M0577","Rheu arthritis w rheu factor of ank/ft w/o org/sys involv"
"M0503","Felty's syndrome, wrist"
"M056","Rheumatoid arthritis w involvement of oth organs and systems"
"M0546","Rheumatoid myopathy with rheumatoid arthritis of knee"
"M05059","Felty's syndrome, unspecified hip"
"M0525","Rheumatoid vasculitis with rheumatoid arthritis of hip"
"M0562","Rheumatoid arthritis of elbow w involv of organs and systems"
"M341","CR(E)ST syndrome"
"M05339","Rheu heart disease w rheumatoid arthritis of unsp wrist"
"M0530","Rheumatoid heart disease w rheumatoid arthritis of unsp site"
"M05842","Oth rheumatoid arthritis with rheumatoid factor of left hand"
"M05822","Oth rheumatoid arthritis w rheumatoid factor of left elbow"
"M0580","Oth rheumatoid arthritis with rheumatoid factor of unsp site"
"M3391","Dermatopolymyositis, unsp with respiratory involvement"
"M06011","Rheumatoid arthritis w/o rheumatoid factor, right shoulder"
"M0569","Rheu arthritis mult site w involv of organs and systems"
"M0627","Rheumatoid bursitis, ankle and foot"
"M06349","Rheumatoid nodule, unspecified hand"
"M061","Adult-onset Still's disease"
"M0531","Rheumatoid heart disease w rheumatoid arthritis of shoulder"
"M05411","Rheumatoid myopathy w rheumatoid arthritis of right shoulder"
"M05421","Rheumatoid myopathy with rheumatoid arthritis of right elbow"
"M05119","Rheu lung disease w rheumatoid arthritis of unsp shoulder"
"M058","Other rheumatoid arthritis with rheumatoid factor"
"M0623","Rheumatoid bursitis, wrist"
"M06811","Other specified rheumatoid arthritis, right shoulder"
"M0602","Rheumatoid arthritis without rheumatoid factor, elbow"
"M05269","Rheumatoid vasculitis with rheumatoid arthritis of unsp knee"
"M3300","Juvenile dermatopolymyositis, organ involvement unspecified"
"M05242","Rheumatoid vasculitis with rheumatoid arthritis of left hand"
"M06819","Other specified rheumatoid arthritis, unspecified shoulder"
"M0513","Rheumatoid lung disease with rheumatoid arthritis of wrist"
"M06032","Rheumatoid arthritis without rheumatoid factor, left wrist"
"M055","Rheumatoid polyneuropathy with rheumatoid arthritis"
"M06379","Rheumatoid nodule, unspecified ankle and foot"
"M06871","Other specified rheumatoid arthritis, right ankle and foot"
"M06369","Rheumatoid nodule, unspecified knee"
"M05442","Rheumatoid myopathy with rheumatoid arthritis of left hand"
"M0572","Rheu arthritis w rheu factor of elbow w/o org/sys involv"
"M0541","Rheumatoid myopathy with rheumatoid arthritis of shoulder"
"M329","Systemic lupus erythematosus, unspecified"
"M05552","Rheumatoid polyneuropathy w rheumatoid arthritis of left hip"
"M0552","Rheumatoid polyneuropathy with rheumatoid arthritis of elbow"
"M0501","Felty's syndrome, shoulder"
"M05249","Rheumatoid vasculitis with rheumatoid arthritis of unsp hand"
"M3319","Other dermatopolymyositis with other organ involvement"
"M05839","Oth rheumatoid arthritis w rheumatoid factor of unsp wrist"
"M05579","Rheumatoid polyneurop w rheumatoid arthritis of unsp ank/ft"
"M06079","Rheumatoid arthritis w/o rheumatoid factor, unsp ank/ft"
"M05459","Rheumatoid myopathy with rheumatoid arthritis of unsp hip"
"M0582","Other rheumatoid arthritis with rheumatoid factor of elbow"
"M0515","Rheumatoid lung disease with rheumatoid arthritis of hip"
"M05722","Rheu arthritis w rheu factor of l elbow w/o org/sys involv"
"M06879","Oth rheumatoid arthritis, unspecified ankle and foot"
"M0682","Other specified rheumatoid arthritis, elbow"
"M06232","Rheumatoid bursitis, left wrist"
"M06852","Other specified rheumatoid arthritis, left hip"
"M05879","Oth rheumatoid arthritis w rheumatoid factor of unsp ank/ft"
"M05779","Rheu arthrit w rheu factor of unsp ank/ft w/o org/sys involv"
"M0684","Other specified rheumatoid arthritis, hand"
"M05672","Rheu arthritis of left ank/ft w involv of organs and systems"
"M06861","Other specified rheumatoid arthritis, right knee"
"M06241","Rheumatoid bursitis, right hand"
"M05079","Felty's syndrome, unspecified ankle and foot"
"M0575","Rheu arthritis w rheumatoid factor of hip w/o org/sys involv"
"M05762","Rheu arthritis w rheu factor of left knee w/o org/sys involv"
"M05279","Rheumatoid vasculitis w rheumatoid arthritis of unsp ank/ft"
"M057","Rheumatoid arthritis w rheumatoid factor w/o org/sys involv"
"M3214","Glomerular disease in systemic lupus erythematosus"
"M05659","Rheu arthritis of unsp hip w involv of organs and systems"
"M06319","Rheumatoid nodule, unspecified shoulder"
"M05821","Oth rheumatoid arthritis w rheumatoid factor of right elbow"
"M05039","Felty's syndrome, unspecified wrist"
"M06259","Rheumatoid bursitis, unspecified hip"
"M0609","Rheumatoid arthritis w/o rheumatoid factor, multiple sites"
"M05749","Rheu arthritis w rheu factor of unsp hand w/o org/sys involv"
"M0621","Rheumatoid bursitis, shoulder"
"M05312","Rheu heart disease w rheumatoid arthritis of l shoulder"
"M05761","Rheu arthritis w rheu factor of r knee w/o org/sys involv"
"M05562","Rheumatoid polyneurop w rheumatoid arthritis of left knee"
"M0509","Felty's syndrome, multiple sites"
"M3320","Polymyositis, organ involvement unspecified"
"M05072","Felty's syndrome, left ankle and foot"
"M3312","Other dermatopolymyositis with myopathy"
"M3310","Other dermatopolymyositis, organ involvement unspecified"
"M3483","Systemic sclerosis with polyneuropathy"
"M06251","Rheumatoid bursitis, right hip"
"M05211","Rheumatoid vasculitis w rheumatoid arthritis of r shoulder"
"M06252","Rheumatoid bursitis, left hip"
"M0624","Rheumatoid bursitis, hand"
"M05541","Rheumatoid polyneurop w rheumatoid arthritis of right hand"
"M06362","Rheumatoid nodule, left knee"
"M05449","Rheumatoid myopathy with rheumatoid arthritis of unsp hand"
"M06342","Rheumatoid nodule, left hand"
"M0688","Other specified rheumatoid arthritis, vertebrae"
"M05332","Rheumatoid heart disease w rheumatoid arthritis of l wrist"
"M06329","Rheumatoid nodule, unspecified elbow"
"M06849","Other specified rheumatoid arthritis, unspecified hand"
"M05441","Rheumatoid myopathy with rheumatoid arthritis of right hand"
"M3489","Other systemic sclerosis"
"M05712","Rheu arthrit w rheu factor of l shoulder w/o org/sys involv"
"M05019","Felty's syndrome, unspecified shoulder"
"M05811","Oth rheumatoid arthritis w rheumatoid factor of r shoulder"
"M3481","Systemic sclerosis with lung involvement"
"M0539","Rheumatoid heart disease w rheumatoid arthritis mult site"
"M0574","Rheu arthritis w rheu factor of hand w/o org/sys involv"
"M05472","Rheumatoid myopathy w rheumatoid arthritis of left ank/ft"
"M06221","Rheumatoid bursitis, right elbow"
"M3213","Lung involvement in systemic lupus erythematosus"
"M06332","Rheumatoid nodule, left wrist"
"M3215","Tubulo-interstitial neuropath in sys lupus erythematosus"
"M06229","Rheumatoid bursitis, unspecified elbow"
"M06212","Rheumatoid bursitis, left shoulder"
"M0638","Rheumatoid nodule, vertebrae"
"M321","Systemic lupus erythematosus w organ or system involvement"
"M353","Polymyalgia rheumatica"
"M05432","Rheumatoid myopathy with rheumatoid arthritis of left wrist"
"M33","Dermatopolymyositis"
"M05311","Rheu heart disease w rheumatoid arthritis of r shoulder"
"M064","Inflammatory polyarthropathy"
"M06832","Other specified rheumatoid arthritis, left wrist"
"M0519","Rheumatoid lung disease w rheumatoid arthritis mult site"
